userId,movieId,Id2,rating,timestamp
7,1,1,3,851866703
9,1,1,4,938629179
13,1,1,5,1331380058
15,1,1,2,997938310
19,1,1,3,855190091
20,1,1,3.5,1238729767
23,1,1,3,1148729853
26,1,1,5,1360087980
30,1,1,4,944943070
37,1,1,4,981308121
43,1,1,4,974768260
44,1,1,4,858707138
47,1,1,5,832228931
48,1,1,4,1318796720
55,1,1,3,855926941
56,1,1,4,1467004817
63,1,1,5,1079098216
67,1,1,3,854711770
68,1,1,4,1194741818
69,1,1,5,1366831110
70,1,1,5,853954235
72,1,1,3.5,1461778737
73,1,1,5,1303464840
75,1,1,3,1165607201
77,1,1,4,1163005363
79,1,1,2,1182994648
84,1,1,3.5,1429910800
86,1,1,3,848161799
87,1,1,3,858623186
89,1,1,5,1257620018
90,1,1,4,875517174
91,1,1,5,1448798200
92,1,1,5,848526251
93,1,1,4,1304992014
94,1,1,4,1291779829
97,1,1,1,1460342505
99,1,1,4,938586006
100,1,1,4,854193977
106,1,1,4,1215818369
112,1,1,5,852720865
119,1,1,2,913048158
120,1,1,2.5,1167422234
121,1,1,4,833058442
122,1,1,3,832773057
124,1,1,4.5,1147862310
125,1,1,4,1269736592
126,1,1,5,833286470
128,1,1,5,1049690031
130,1,1,3,1138997743
134,1,1,3.5,1361244876
136,1,1,4.5,1405977265
138,1,1,2,1440379001
142,1,1,4,997731606
146,1,1,5,1256071139
149,1,1,3,1436919660
150,1,1,3,1114306148
152,1,1,3.5,1335947960
153,1,1,5,1046739645
154,1,1,4,850917310
157,1,1,3.5,1291598726
163,1,1,3,1390767736
164,1,1,3.5,1179531301
165,1,1,2.5,1111482682
168,1,1,5,848866772
169,1,1,4,1234228717
173,1,1,4,875357598
175,1,1,4,1052837092
176,1,1,2,1340720798
177,1,1,5,907515679
178,1,1,4,1437425800
179,1,1,5,1436669947
184,1,1,5,833524830
185,1,1,5,1003523268
187,1,1,4,1228072644
193,1,1,4,971216031
200,1,1,3,1437932719
201,1,1,5,1110421816
205,1,1,4.5,1442148577
212,1,1,3,1218405007
213,1,1,3,1462637445
215,1,1,3,860559708
219,1,1,5,974475264
220,1,1,2,970498319
224,1,1,4,828213150
232,1,1,3,955088635
237,1,1,3,1102009632
240,1,1,4.5,1098943177
241,1,1,3,847339737
242,1,1,5,956682763
247,1,1,4,953361586
252,1,1,3,869101312
253,1,1,4.5,1215831130
261,1,1,1.5,1101665532
262,1,1,2.5,1433898798
268,1,1,5,1314894068
272,1,1,4,1453587590
273,1,1,4.5,1466945564
275,1,1,5,1350254117
282,1,1,4,1111493773
283,1,1,3,1114997963
284,1,1,3,853878868
285,1,1,4,965091874
287,1,1,5,1469161081
292,1,1,4,1140049726
293,1,1,4,1064615574
294,1,1,4,1047071649
306,1,1,3,956083012
311,1,1,3,898007830
312,1,1,5,959933200
313,1,1,4,1105354580
314,1,1,2,1437338091
318,1,1,1,862902604
321,1,1,3,939420838
324,1,1,4,1451524648
328,1,1,4,1147996106
329,1,1,5,867072004
333,1,1,4,1441197471
334,1,1,5,1447031887
336,1,1,2,995826976
343,1,1,5,881166397
344,1,1,4,853736711
345,1,1,4.5,1106949170
350,1,1,4,1005938887
353,1,1,3.5,1112268707
354,1,1,5,846062607
355,1,1,3,1130104529
357,1,1,5,832768614
358,1,1,5,957480017
361,1,1,3,864050973
363,1,1,5,942344684
379,1,1,3.5,1378180411
380,1,1,4,1048092869
382,1,1,3.5,1371772711
383,1,1,5,852806429
390,1,1,4,867073566
396,1,1,5,834998311
401,1,1,5,977459322
402,1,1,2,1443393600
403,1,1,4,850779492
406,1,1,3.5,1447951646
407,1,1,4,962646314
408,1,1,2,933035002
409,1,1,5,828212413
410,1,1,5,1434057935
412,1,1,4,993088074
417,1,1,3.5,1112585993
418,1,1,3.5,1132180691
419,1,1,4.5,1110049948
421,1,1,2,835170129
422,1,1,5,980859727
425,1,1,4.5,1112383737
426,1,1,3,1312723226
428,1,1,5,1304131910
430,1,1,4,1172908978
431,1,1,4.5,1165547529
432,1,1,5,1271227588
433,1,1,4.5,1417930541
434,1,1,4,886372746
437,1,1,4,831693610
440,1,1,4,835337057
442,1,1,4,1227920032
447,1,1,3,832492847
448,1,1,3,1444761397
452,1,1,3.5,1133735252
455,1,1,3.5,1110395566
456,1,1,3.5,1432307903
457,1,1,1.5,1471386200
458,1,1,3.5,1365115663
459,1,1,5,859210690
460,1,1,4.5,1072836909
461,1,1,3.5,1090907386
463,1,1,3,1049913385
466,1,1,5,944892273
468,1,1,4,1296195523
470,1,1,3.5,1234088628
471,1,1,3.5,1239658613
472,1,1,5,939004597
475,1,1,4.5,1446908358
480,1,1,5,1272669366
481,1,1,4,1437000892
484,1,1,3,851345204
486,1,1,5,1464121011
490,1,1,1,851786086
491,1,1,5,940796476
500,1,1,2,1228946388
501,1,1,5,1283137657
502,1,1,4,861302126
503,1,1,4,1432365762
506,1,1,4,865395296
507,1,1,3,862090954
509,1,1,3,939329344
510,1,1,1,944346953
514,1,1,4,853892832
518,1,1,5,945369114
520,1,1,3,1142028487
525,1,1,2,1024928544
526,1,1,4,1428641074
529,1,1,4,959965342
530,1,1,5,879014231
531,1,1,3,1240402247
534,1,1,5,973376852
537,1,1,5,879502465
538,1,1,5,831835670
542,1,1,4.5,1424965705
543,1,1,5,866931481
547,1,1,3.5,1053173138
548,1,1,4,857405395
553,1,1,4,1423011192
559,1,1,4,903143238
560,1,1,4.5,1452849340
561,1,1,3,1172695347
562,1,1,4.5,1167426662
564,1,1,4,974712079
568,1,1,3,835002305
570,1,1,1.5,1475783711
574,1,1,4,1232811316
575,1,1,3,1012595781
577,1,1,5,1111475159
580,1,1,4,1155616380
584,1,1,5,1276156510
585,1,1,4,974607482
586,1,1,4,1214234202
594,1,1,4,938948878
595,1,1,5,965077903
596,1,1,3.5,1145034973
597,1,1,5,940708550
